NOSE_x,NOSE_y,NOSE_z,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,label
0.200997,0.145041,-0.089494,0.207868,0.136184,-0.080028,0.211976,0.138579,-0.080256,0.215925,0.141156,-0.080276,0.196655,0.132624,-0.073858,0.193015,0.132835,-0.074078,0.189166,0.133239,-0.074277,0.222892,0.152117,-0.015422,0.184099,0.147178,0.013868,0.206707,0.170520,-0.062358,0.192664,0.167345,-0.055361,0.245604,0.255009,0.003981,0.158667,0.250279,0.053053,0.221571,0.355862,-0.032498,0.168587,0.350619,-0.029267,0.168430,0.279444,-0.090028,0.221938,0.263931,-0.156232,0.153375,0.268995,-0.111230,0.238382,0.250665,-0.188365,0.160720,0.248312,-0.104956,0.234576,0.236655,-0.178131,0.164732,0.252025,-0.087087,0.229156,0.243113,-0.156362,0.223381,0.493152,-0.011136,0.175039,0.486379,0.011096,0.216740,0.681073,-0.031765,0.158345,0.668741,-0.010611,0.203149,0.808557,0.106080,0.158827,0.798628,0.111013,0.193655,0.858418,0.115992,0.155358,0.847869,0.121049,0.193886,0.905628,0.034606,0.134462,0.877317,0.042516,BRAZOS_CRUZADOS
0.195139,0.144959,-0.085216,0.201542,0.135885,-0.074098,0.205581,0.138214,-0.074339,0.209356,0.140727,-0.074373,0.190358,0.132603,-0.071182,0.186390,0.132833,-0.071447,0.182175,0.133270,-0.071635,0.213453,0.151946,-0.006315,0.174970,0.147241,0.010399,0.200645,0.170215,-0.057274,0.186163,0.167322,-0.054548,0.236853,0.250951,0.007472,0.148793,0.250118,0.051276,0.212903,0.355407,-0.015438,0.162194,0.351036,-0.015578,0.156512,0.280652,-0.043861,0.216390,0.266057,-0.086310,0.139518,0.270204,-0.055586,0.233001,0.252592,-0.104537,0.145339,0.249681,-0.046434,0.230084,0.237983,-0.093336,0.149974,0.254106,-0.038429,0.226047,0.245225,-0.083741,0.223419,0.506648,-0.011216,0.172139,0.505266,0.011148,0.219280,0.685301,-0.009563,0.158602,0.695094,-0.012808,0.208686,0.827683,0.137809,0.162064,0.848429,0.095902,0.201500,0.856791,0.149322,0.169715,0.871430,0.105336,0.222110,0.905758,0.098342,0.134565,0.916040,0.044878,BRAZOS_CRUZADOS
0.195680,0.144936,-0.110395,0.201793,0.135718,-0.097648,0.206078,0.138062,-0.097897,0.209938,0.140590,-0.097931,0.190889,0.132602,-0.097306,0.187071,0.132842,-0.097595,0.182864,0.133457,-0.097772,0.214124,0.152229,-0.019581,0.175944,0.148650,-0.017927,0.200963,0.169978,-0.078722,0.186868,0.167261,-0.080032,0.238061,0.248770,-0.001245,0.150023,0.250361,0.025057,0.220040,0.355053,-0.039287,0.162432,0.351123,-0.071491,0.168886,0.275579,-0.092877,0.216210,0.269146,-0.180335,0.156709,0.263934,-0.107268,0.232982,0.253630,-0.205871,0.158027,0.249807,-0.100555,0.230248,0.239011,-0.193635,0.163033,0.254916,-0.089327,0.225736,0.246193,-0.178622,0.226032,0.509219,-0.010020,0.172140,0.511791,0.009902,0.226762,0.686123,0.005898,0.164449,0.700562,-0.013002,0.217604,0.826950,0.179439,0.170398,0.855012,0.074886,0.209674,0.849392,0.193101,0.180654,0.877988,0.080885,0.237133,0.904442,0.138106,0.142116,0.920955,0.010095,BRAZOS_CRUZADOS
0.210745,0.143811,-0.109893,0.216542,0.134216,-0.100219,0.220923,0.136175,-0.100476,0.224924,0.137917,-0.100509,0.206442,0.131595,-0.098182,0.202724,0.131779,-0.098482,0.198514,0.132288,-0.098673,0.230027,0.151092,-0.033096,0.192357,0.147378,-0.024062,0.216206,0.168052,-0.081795,0.202888,0.165539,-0.080951,0.254460,0.243026,-0.018435,0.166099,0.248133,0.014270,0.238076,0.355751,-0.080181,0.179462,0.350489,-0.071914,0.200550,0.255385,-0.152787,0.232499,0.267153,-0.175524,0.193018,0.235122,-0.171038,0.247366,0.248059,-0.199668,0.199901,0.225223,-0.163528,0.245507,0.234571,-0.189116,0.202982,0.233318,-0.149767,0.241145,0.242265,-0.174501,0.238495,0.510170,-0.009714,0.183750,0.510050,0.009574,0.237180,0.686911,0.020857,0.174766,0.697654,-0.007821,0.227580,0.825499,0.195512,0.177824,0.849445,0.085537,0.217337,0.844540,0.209685,0.188314,0.872736,0.093238,0.248788,0.903981,0.157861,0.156531,0.921100,0.019730,BRAZOS_CRUZADOS
0.209370,0.143831,-0.131018,0.215506,0.134225,-0.119355,0.219820,0.136156,-0.119625,0.223958,0.137806,-0.119641,0.205001,0.131835,-0.116326,0.201541,0.132053,-0.116619,0.197428,0.132624,-0.116811,0.230193,0.150901,-0.041320,0.191748,0.148328,-0.027893,0.216272,0.167887,-0.098804,0.202442,0.165523,-0.096766,0.258627,0.243834,-0.021247,0.168471,0.248154,0.015123,0.241107,0.355377,-0.089164,0.188604,0.350464,-0.075436,0.195171,0.259086,-0.176011,0.242680,0.269204,-0.192047,0.183698,0.242956,-0.200292,0.255012,0.250908,-0.222047,0.189820,0.229795,-0.192871,0.251963,0.237121,-0.211778,0.193608,0.236355,-0.173427,0.247804,0.244640,-0.191793,0.244455,0.511141,-0.008702,0.188673,0.516722,0.008552,0.244389,0.688346,0.050226,0.183754,0.701436,0.024133,0.236933,0.825835,0.253202,0.191500,0.849292,0.134537,0.227612,0.844835,0.269243,0.200645,0.871523,0.142659,0.259988,0.903237,0.200812,0.170618,0.924613,0.056728,BRAZOS_CRUZADOS
0.208888,0.143791,-0.131235,0.214747,0.133708,-0.118920,0.218989,0.135262,-0.119177,0.223476,0.136763,-0.119186,0.204366,0.131841,-0.117123,0.200647,0.132118,-0.117419,0.196327,0.132780,-0.117622,0.229353,0.150285,-0.039636,0.190624,0.148633,-0.031393,0.214901,0.166605,-0.098627,0.200930,0.165308,-0.098124,0.256940,0.244351,-0.016172,0.168255,0.249373,0.008523,0.243918,0.355460,-0.072585,0.186119,0.351417,-0.080600,0.192145,0.274971,-0.140887,0.244310,0.279980,-0.195330,0.178624,0.265112,-0.162008,0.256509,0.262437,-0.225833,0.183899,0.251765,-0.155659,0.253666,0.247232,-0.214747,0.188353,0.257570,-0.138193,0.249934,0.254601,-0.194378,0.246211,0.511357,-0.005430,0.192106,0.519014,0.005281,0.248813,0.689725,0.061696,0.191582,0.701428,0.032218,0.243596,0.829611,0.238135,0.200699,0.853019,0.130009,0.234861,0.846152,0.251142,0.209851,0.872940,0.136914,0.267867,0.900898,0.177657,0.181900,0.929579,0.051950,BRAZOS_CRUZADOS
0.212958,0.143797,-0.129150,0.219100,0.133103,-0.117695,0.223753,0.134502,-0.117963,0.228733,0.136115,-0.117970,0.208866,0.131815,-0.115482,0.205072,0.132134,-0.115785,0.200884,0.132954,-0.115987,0.234300,0.149541,-0.042950,0.195279,0.148721,-0.033291,0.220434,0.166585,-0.098499,0.206521,0.165206,-0.097491,0.263053,0.243723,-0.020847,0.177241,0.250477,0.004584,0.247247,0.355578,-0.076333,0.200579,0.355227,-0.082507,0.191925,0.276983,-0.142409,0.252299,0.278432,-0.187390,0.178141,0.266190,-0.161254,0.263795,0.261385,-0.215391,0.182420,0.252453,-0.153764,0.260256,0.246466,-0.204272,0.187109,0.258261,-0.139035,0.257590,0.254396,-0.186261,0.255552,0.512359,-0.005214,0.202240,0.520427,0.005062,0.257368,0.690816,0.060552,0.199778,0.702843,0.026986,0.251626,0.828555,0.236216,0.208117,0.851600,0.123968,0.243353,0.846124,0.249577,0.217973,0.871380,0.131304,0.274561,0.897269,0.185126,0.190666,0.929599,0.049923,BRAZOS_CRUZADOS
0.211620,0.143697,-0.140837,0.217654,0.133119,-0.128359,0.222081,0.134535,-0.128643,0.226749,0.136173,-0.128658,0.207615,0.131899,-0.127950,0.204067,0.132254,-0.128244,0.200091,0.133079,-0.128446,0.232403,0.149610,-0.048011,0.194208,0.148903,-0.046167,0.219041,0.166372,-0.107822,0.205322,0.164762,-0.109191,0.261211,0.242254,-0.020111,0.174545,0.253308,-0.006865,0.251981,0.355588,-0.078100,0.197215,0.357296,-0.099193,0.198738,0.274920,-0.164016,0.246204,0.277630,-0.207802,0.186312,0.261675,-0.185575,0.260440,0.260320,-0.236958,0.190317,0.251939,-0.179098,0.256135,0.243938,-0.226160,0.194706,0.258138,-0.161685,0.252968,0.252849,-0.206905,0.258773,0.512798,-0.001922,0.205450,0.522358,0.001767,0.265383,0.690911,0.070800,0.209177,0.704868,0.029951,0.261496,0.827766,0.253119,0.220134,0.852824,0.126880,0.254814,0.846108,0.266918,0.230320,0.871470,0.133692,0.286698,0.894655,0.202318,0.203013,0.928750,0.052861,BRAZOS_CRUZADOS
0.214728,0.144194,-0.146669,0.220618,0.133408,-0.134875,0.224999,0.134846,-0.135173,0.229792,0.136474,-0.135190,0.210228,0.132380,-0.132883,0.206593,0.132879,-0.133167,0.202734,0.133871,-0.133357,0.235393,0.149640,-0.056118,0.197199,0.150006,-0.047345,0.223027,0.167330,-0.114374,0.209791,0.165870,-0.113712,0.266267,0.241362,-0.032675,0.177600,0.257343,-0.006847,0.258933,0.355581,-0.116915,0.204826,0.357091,-0.111083,0.205934,0.274610,-0.228303,0.246606,0.265642,-0.237921,0.192850,0.261924,-0.255619,0.257561,0.244541,-0.270362,0.196863,0.251560,-0.248037,0.253540,0.232591,-0.259641,0.201338,0.257652,-0.226218,0.250311,0.243458,-0.237873,0.267326,0.512193,-0.002405,0.212719,0.522932,0.002250,0.276856,0.689960,0.054325,0.217840,0.703802,0.023418,0.276144,0.826984,0.237248,0.230298,0.852596,0.126564,0.269167,0.842617,0.250989,0.239792,0.871248,0.131111,0.301377,0.893900,0.180591,0.213714,0.929069,0.042365,BRAZOS_CRUZADOS
0.225014,0.142356,-0.155551,0.230516,0.131540,-0.144329,0.234730,0.133126,-0.144644,0.239097,0.134980,-0.144670,0.220770,0.130984,-0.140726,0.216995,0.131869,-0.141015,0.213100,0.133157,-0.141221,0.244014,0.148910,-0.069137,0.207776,0.149861,-0.052717,0.232719,0.166002,-0.124807,0.219769,0.164741,-0.121947,0.277916,0.238912,-0.053123,0.190131,0.257056,-0.005982,0.265013,0.354359,-0.124573,0.215571,0.357724,-0.111654,0.208785,0.275366,-0.200921,0.248557,0.255955,-0.243739,0.193620,0.269111,-0.223340,0.258936,0.234141,-0.274940,0.198304,0.252726,-0.215034,0.253093,0.222222,-0.264853,0.203794,0.257661,-0.197608,0.249847,0.232285,-0.244258,0.282765,0.511778,-0.007347,0.226150,0.522999,0.007193,0.291220,0.686037,0.055367,0.226937,0.702685,0.031149,0.284491,0.823817,0.243501,0.241034,0.851964,0.134322,0.276558,0.839688,0.257366,0.251723,0.870836,0.140721,0.309909,0.892722,0.183760,0.220633,0.928867,0.052191,BRAZOS_CRUZADOS
