NOSE_x,NOSE_y,NOSE_z,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,label
0.514164,0.140976,-0.168962,0.523468,0.123989,-0.158544,0.527719,0.125864,-0.158802,0.532423,0.128113,-0.158838,0.508665,0.121465,-0.158828,0.503532,0.122072,-0.159121,0.499265,0.123091,-0.159247,0.539911,0.138741,-0.090100,0.494073,0.134700,-0.091066,0.523188,0.167944,-0.140598,0.505104,0.164107,-0.142571,0.563102,0.253449,-0.064713,0.463645,0.245526,-0.040165,0.581567,0.404388,-0.041822,0.444841,0.378356,-0.057665,0.588435,0.539850,-0.056817,0.430497,0.499001,-0.101804,0.590974,0.582653,-0.065869,0.424269,0.536011,-0.113020,0.581522,0.581853,-0.086043,0.428575,0.546610,-0.135164,0.577526,0.567784,-0.063800,0.434844,0.528012,-0.112365,0.534433,0.513596,-0.007833,0.478290,0.508783,0.007526,0.520341,0.710114,-0.003849,0.455461,0.710585,-0.058238,0.502488,0.859077,0.097938,0.453557,0.874393,-0.014664,0.492218,0.880848,0.103366,0.461932,0.897953,-0.012962,0.521808,0.932128,0.052143,0.416181,0.950346,-0.069668,FIRMES
0.500147,0.136860,-0.220844,0.506780,0.120810,-0.209800,0.511242,0.121742,-0.210117,0.515569,0.122869,-0.210137,0.495148,0.120132,-0.209184,0.490835,0.120803,-0.209510,0.486254,0.121715,-0.209678,0.523899,0.132924,-0.134923,0.482151,0.131775,-0.131542,0.509114,0.162842,-0.189876,0.493000,0.159054,-0.190729,0.553934,0.251708,-0.096244,0.453328,0.246875,-0.073065,0.576148,0.404076,-0.065181,0.437402,0.385960,-0.082458,0.581424,0.540006,-0.093527,0.419979,0.500957,-0.137678,0.585342,0.583500,-0.104872,0.414794,0.538231,-0.153703,0.576430,0.583140,-0.130883,0.417831,0.546403,-0.179089,0.571738,0.568079,-0.103036,0.422705,0.529234,-0.150128,0.531177,0.521292,-0.007437,0.473680,0.519670,0.007139,0.519374,0.711106,0.011185,0.454960,0.713207,-0.022148,0.502702,0.859319,0.125950,0.453691,0.874403,0.052958,0.492803,0.880947,0.131454,0.462315,0.897797,0.056738,0.521809,0.933008,0.058244,0.416740,0.950521,-0.017877,FIRMES
0.487657,0.132518,-0.200512,0.494409,0.116312,-0.189937,0.499059,0.116653,-0.190218,0.503805,0.117793,-0.190251,0.483559,0.117194,-0.190348,0.479421,0.118277,-0.190645,0.474854,0.119804,-0.190771,0.512619,0.128054,-0.120094,0.470964,0.130012,-0.119294,0.497364,0.158289,-0.171029,0.482563,0.155960,-0.173240,0.545751,0.248792,-0.094348,0.445162,0.245799,-0.067049,0.561405,0.402419,-0.049440,0.431038,0.386059,-0.050959,0.563629,0.539672,-0.086675,0.417131,0.504206,-0.102494,0.564043,0.582955,-0.092608,0.413233,0.543714,-0.122585,0.554690,0.582441,-0.114427,0.418271,0.547617,-0.147387,0.550741,0.566970,-0.092938,0.422143,0.531488,-0.114221,0.521955,0.529278,-0.008123,0.464758,0.529645,0.007840,0.519401,0.713524,0.024092,0.453748,0.713869,0.024369,0.517147,0.862531,0.158481,0.453773,0.874424,0.127932,0.514409,0.880369,0.166509,0.462248,0.898166,0.135335,0.523978,0.944858,0.097068,0.418373,0.950517,0.071697,FIRMES
0.493913,0.128608,-0.249292,0.501607,0.113696,-0.240076,0.506096,0.114182,-0.240400,0.510806,0.115429,-0.240389,0.488637,0.113989,-0.230702,0.483318,0.114512,-0.231009,0.478340,0.115315,-0.231184,0.518813,0.125680,-0.164881,0.476228,0.125197,-0.123262,0.503382,0.153123,-0.217335,0.486985,0.151197,-0.206945,0.550116,0.244032,-0.147374,0.460056,0.241322,-0.029940,0.565375,0.402430,-0.118566,0.456395,0.384900,-0.007301,0.563045,0.543865,-0.148034,0.443415,0.504049,-0.081665,0.565111,0.588322,-0.170426,0.439356,0.543512,-0.102019,0.551333,0.585692,-0.191854,0.442017,0.547279,-0.131568,0.547140,0.569270,-0.155002,0.444560,0.531430,-0.096506,0.523575,0.531794,-0.036047,0.465469,0.527537,0.035890,0.522991,0.717340,0.008616,0.454666,0.709811,0.063059,0.524498,0.868378,0.180570,0.455123,0.871175,0.197077,0.525012,0.882312,0.192967,0.464708,0.895731,0.206880,0.522523,0.952924,0.100365,0.419049,0.942445,0.122104,FIRMES
0.487015,0.127680,-0.251237,0.496135,0.113154,-0.245985,0.500734,0.113846,-0.246314,0.505148,0.115114,-0.246282,0.485765,0.113307,-0.230444,0.482471,0.113824,-0.230746,0.479229,0.114454,-0.230922,0.516001,0.126337,-0.184589,0.479166,0.124184,-0.116732,0.496374,0.151904,-0.224026,0.482608,0.149149,-0.205731,0.543675,0.237442,-0.183757,0.461728,0.241834,0.002899,0.548503,0.402442,-0.184276,0.458789,0.391173,0.038004,0.536088,0.549508,-0.228982,0.445460,0.511242,-0.040670,0.539598,0.598521,-0.259666,0.442292,0.551170,-0.059582,0.522623,0.592817,-0.276233,0.445688,0.555822,-0.090682,0.519715,0.575795,-0.234612,0.448047,0.541451,-0.056789,0.519584,0.534526,-0.059100,0.467283,0.531537,0.059005,0.521020,0.717074,0.035051,0.462460,0.709667,0.128675,0.525020,0.868390,0.232725,0.463673,0.870215,0.256507,0.528463,0.882896,0.246063,0.471972,0.894766,0.265528,0.516903,0.951721,0.147535,0.421213,0.936272,0.178046,FIRMES
0.488085,0.127908,-0.260071,0.496719,0.113394,-0.257341,0.501239,0.113951,-0.257657,0.505622,0.115538,-0.257579,0.486241,0.113829,-0.239982,0.483171,0.114384,-0.240273,0.480173,0.114938,-0.240409,0.517193,0.126815,-0.201124,0.480650,0.124268,-0.122499,0.498501,0.152796,-0.234209,0.484272,0.150006,-0.213674,0.542196,0.235075,-0.214128,0.469049,0.242408,0.012360,0.541115,0.403092,-0.241278,0.462269,0.390879,0.041738,0.521288,0.552482,-0.297700,0.448670,0.507185,-0.034185,0.523445,0.601919,-0.330831,0.443819,0.549501,-0.048965,0.505186,0.595487,-0.342087,0.445630,0.554826,-0.078253,0.503741,0.578819,-0.301174,0.447756,0.540692,-0.049824,0.517495,0.533058,-0.071291,0.468323,0.529950,0.071233,0.516857,0.716575,0.054600,0.462837,0.706329,0.128619,0.531630,0.872163,0.214673,0.466354,0.868624,0.234168,0.542242,0.890508,0.224088,0.473538,0.892962,0.241311,0.510390,0.952004,0.125808,0.421392,0.932816,0.159172,FIRMES
0.492680,0.128726,-0.237068,0.503230,0.114336,-0.230999,0.508150,0.114547,-0.231305,0.512141,0.115667,-0.231256,0.493327,0.114347,-0.224588,0.490822,0.114451,-0.224890,0.488157,0.115163,-0.225072,0.525905,0.127253,-0.174560,0.492691,0.124607,-0.092586,0.503850,0.152908,-0.209606,0.490558,0.150343,-0.210178,0.545591,0.235826,-0.192462,0.485737,0.243134,0.048851,0.549100,0.403292,-0.212345,0.479709,0.393614,0.082276,0.529142,0.555342,-0.258394,0.455997,0.506974,0.006286,0.533260,0.604241,-0.289423,0.453023,0.548689,-0.006845,0.515864,0.598930,-0.300318,0.453618,0.554558,-0.036347,0.512833,0.583189,-0.261462,0.455571,0.540809,-0.009635,0.518797,0.538614,-0.075375,0.475352,0.530886,0.075323,0.517558,0.718318,0.048012,0.464698,0.706328,0.148976,0.532947,0.874987,0.217338,0.466710,0.863240,0.275142,0.543445,0.895861,0.228230,0.473584,0.888173,0.284627,0.507963,0.951643,0.127285,0.422001,0.923342,0.203848,FIRMES
0.491154,0.129151,-0.229156,0.501201,0.115273,-0.227589,0.505759,0.115146,-0.227882,0.510022,0.115967,-0.227799,0.492133,0.116359,-0.214747,0.490079,0.116736,-0.215052,0.487819,0.117273,-0.215234,0.523898,0.128422,-0.188809,0.492994,0.126742,-0.092955,0.501343,0.153596,-0.205690,0.489689,0.150595,-0.206064,0.537544,0.233384,-0.215847,0.490735,0.243716,0.052679,0.536240,0.405444,-0.241547,0.483310,0.398989,0.086524,0.513481,0.556099,-0.267564,0.459966,0.510407,0.018562,0.514286,0.603346,-0.296492,0.455664,0.548975,0.009187,0.497997,0.598723,-0.302218,0.455536,0.554363,-0.018290,0.495849,0.583288,-0.267915,0.458159,0.541897,0.003623,0.507876,0.542503,-0.083398,0.475307,0.533827,0.083384,0.509348,0.719041,0.052044,0.466624,0.706868,0.170259,0.531067,0.879256,0.211201,0.468125,0.863631,0.283549,0.541808,0.902251,0.221198,0.475331,0.888588,0.291627,0.502014,0.951826,0.132289,0.421955,0.913376,0.224757,FIRMES
0.483606,0.134456,-0.213775,0.493402,0.119046,-0.218971,0.498382,0.118472,-0.219174,0.503307,0.118734,-0.219022,0.485411,0.120417,-0.194150,0.484323,0.120616,-0.194441,0.483159,0.120735,-0.194533,0.517127,0.130149,-0.176371,0.491037,0.129775,-0.077626,0.494700,0.156390,-0.198051,0.484288,0.155554,-0.172478,0.530869,0.233102,-0.202115,0.492134,0.244440,0.061482,0.522238,0.405574,-0.238699,0.484518,0.399027,0.082391,0.490962,0.555400,-0.257598,0.463987,0.520004,0.019626,0.491801,0.600866,-0.283906,0.460916,0.559697,0.012803,0.475000,0.594600,-0.287269,0.455340,0.560813,-0.011496,0.474112,0.582629,-0.256742,0.457244,0.550542,0.006287,0.506322,0.532133,-0.085202,0.479831,0.527713,0.085159,0.487001,0.711255,-0.019008,0.473213,0.702144,0.136869,0.530965,0.875112,0.079657,0.467751,0.864007,0.218487,0.546903,0.898919,0.084165,0.476778,0.894494,0.224056,0.501506,0.943441,0.014495,0.419184,0.908412,0.167863,FIRMES
0.491862,0.135909,-0.191430,0.499212,0.120909,-0.199418,0.501995,0.120440,-0.199635,0.504515,0.120372,-0.199485,0.496082,0.121516,-0.175212,0.496159,0.121428,-0.175522,0.495839,0.121199,-0.175622,0.521362,0.130379,-0.175380,0.506409,0.129751,-0.076347,0.500120,0.156521,-0.180318,0.496454,0.155901,-0.151818,0.533634,0.233605,-0.200327,0.517367,0.243232,0.051919,0.532972,0.405584,-0.222941,0.507401,0.398172,0.077385,0.503974,0.554928,-0.230501,0.487912,0.524911,0.019861,0.503185,0.599092,-0.253692,0.475828,0.558602,0.012543,0.488833,0.593218,-0.259957,0.472158,0.560033,-0.011293,0.488584,0.582535,-0.230402,0.473755,0.549228,0.006707,0.514482,0.529126,-0.077024,0.496559,0.520945,0.077017,0.491726,0.691613,0.021899,0.478797,0.690828,0.124894,0.534263,0.872768,0.125223,0.467456,0.860033,0.201604,0.550609,0.898774,0.130731,0.476664,0.893698,0.206979,0.498296,0.938326,0.049120,0.419022,0.905490,0.143875,FIRMES
