NOSE_x,NOSE_y,NOSE_z,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,label
0.523902,0.163973,-0.374753,0.530650,0.151008,-0.356539,0.536194,0.152754,-0.356870,0.540948,0.154597,-0.356829,0.519966,0.148665,-0.358677,0.516369,0.148456,-0.358992,0.512107,0.148804,-0.359139,0.545183,0.166899,-0.238217,0.504710,0.160902,-0.247577,0.531274,0.190746,-0.327886,0.516611,0.184071,-0.332421,0.574223,0.265859,-0.153037,0.473556,0.272208,-0.171401,0.625315,0.357881,-0.163917,0.420252,0.352374,-0.177682,0.684959,0.438249,-0.295817,0.360105,0.426085,-0.260614,0.702900,0.471799,-0.321176,0.344256,0.452783,-0.286465,0.703240,0.476892,-0.359252,0.344869,0.455575,-0.323786,0.696288,0.466956,-0.315048,0.351802,0.450844,-0.280173,0.554766,0.541794,0.015443,0.501414,0.543865,-0.015738,0.549412,0.703385,0.120620,0.489895,0.709224,0.003235,0.536966,0.843475,0.367032,0.492663,0.865856,0.181495,0.526663,0.863941,0.384292,0.499455,0.886280,0.193679,0.553394,0.912405,0.288928,0.477102,0.947678,0.081051,OTRO
0.523822,0.164727,-0.416848,0.530649,0.151042,-0.403415,0.535962,0.152734,-0.403768,0.540774,0.154423,-0.403705,0.519848,0.149005,-0.401140,0.516247,0.148808,-0.401501,0.512106,0.149025,-0.401709,0.545186,0.165561,-0.292656,0.505301,0.160471,-0.282187,0.531347,0.190741,-0.370597,0.516766,0.184719,-0.369558,0.579426,0.265766,-0.192854,0.473261,0.266279,-0.173891,0.649482,0.304214,-0.188277,0.408035,0.288859,-0.087359,0.715243,0.315354,-0.290081,0.338801,0.285107,-0.070513,0.727234,0.321874,-0.309731,0.319822,0.293351,-0.079784,0.728790,0.318271,-0.348253,0.318003,0.285674,-0.114279,0.723603,0.319654,-0.308883,0.326261,0.285336,-0.087142,0.554974,0.542954,0.001502,0.500122,0.542308,-0.001680,0.549227,0.704736,0.118607,0.487701,0.709357,0.069128,0.536283,0.843929,0.373969,0.481067,0.862815,0.285561,0.526156,0.863950,0.392373,0.487397,0.881658,0.301245,0.552805,0.912462,0.281673,0.465034,0.945746,0.174361,OTRO
0.519887,0.164426,-0.375468,0.526053,0.150507,-0.355579,0.531057,0.151932,-0.355889,0.536209,0.153586,-0.355867,0.514550,0.148739,-0.355793,0.510083,0.148688,-0.356157,0.505899,0.149016,-0.356389,0.540565,0.164406,-0.229057,0.501023,0.160242,-0.231755,0.527916,0.189293,-0.324247,0.512165,0.184688,-0.326773,0.571644,0.265247,-0.135941,0.465921,0.257283,-0.151091,0.643429,0.268206,-0.154822,0.397288,0.272922,-0.191765,0.706282,0.170127,-0.273547,0.354912,0.160338,-0.329365,0.721538,0.150079,-0.299483,0.341067,0.130530,-0.369582,0.722362,0.139422,-0.328120,0.342610,0.118738,-0.380038,0.716050,0.147690,-0.289555,0.350330,0.129271,-0.341307,0.547399,0.542884,0.004129,0.488490,0.542509,-0.004336,0.546074,0.702810,0.026413,0.479625,0.709714,0.046227,0.534544,0.840913,0.274379,0.478052,0.862851,0.251992,0.525680,0.861291,0.291938,0.483001,0.881698,0.266425,0.550855,0.907278,0.164148,0.463190,0.945585,0.134829,OTRO
0.520990,0.165077,-0.400300,0.528030,0.151146,-0.384902,0.532714,0.152550,-0.385240,0.537599,0.154097,-0.385204,0.515540,0.149388,-0.385033,0.511151,0.149402,-0.385430,0.507306,0.149612,-0.385692,0.541389,0.164319,-0.266887,0.502074,0.160040,-0.268765,0.529379,0.189301,-0.351141,0.513438,0.184993,-0.353535,0.576723,0.264182,-0.162187,0.466604,0.252916,-0.185024,0.647969,0.256579,-0.169457,0.400888,0.262547,-0.215929,0.708051,0.158563,-0.278560,0.356066,0.160477,-0.326061,0.728403,0.135297,-0.303951,0.343228,0.138792,-0.362386,0.729754,0.125068,-0.335322,0.343413,0.127873,-0.380132,0.721514,0.135858,-0.295646,0.350377,0.134872,-0.340214,0.548268,0.542833,0.005194,0.490383,0.541325,-0.005468,0.544219,0.703261,0.147783,0.480808,0.710562,0.076242,0.531306,0.840377,0.385465,0.475694,0.862904,0.290134,0.521883,0.861212,0.400596,0.479663,0.881861,0.305119,0.549402,0.904966,0.255033,0.459772,0.945598,0.166518,OTRO
0.519298,0.163691,-0.429827,0.526194,0.150220,-0.413685,0.531053,0.151773,-0.414041,0.535708,0.153355,-0.413968,0.514566,0.147772,-0.415278,0.510555,0.147480,-0.415632,0.506635,0.147344,-0.415826,0.540101,0.163584,-0.294963,0.501993,0.157916,-0.303000,0.527037,0.187918,-0.380933,0.512563,0.182829,-0.385233,0.569700,0.264631,-0.192355,0.467120,0.254576,-0.195258,0.638904,0.292621,-0.177665,0.406664,0.290984,-0.096264,0.705264,0.322049,-0.267814,0.350809,0.328735,-0.051806,0.724188,0.314930,-0.283383,0.334179,0.353132,-0.056322,0.725345,0.311888,-0.322840,0.333919,0.351471,-0.093037,0.717481,0.322174,-0.286471,0.340613,0.345781,-0.067887,0.544880,0.539272,0.005781,0.486787,0.538188,-0.006007,0.541404,0.700405,0.141550,0.479387,0.705667,0.067200,0.529321,0.839008,0.392207,0.476412,0.861776,0.255621,0.519504,0.860955,0.409602,0.481861,0.880371,0.269350,0.546944,0.900976,0.292940,0.461407,0.942098,0.141603,OTRO
0.517919,0.161274,-0.419305,0.524432,0.148860,-0.400587,0.529478,0.150530,-0.400938,0.534159,0.152288,-0.400876,0.513513,0.146481,-0.403972,0.509831,0.146292,-0.404300,0.506021,0.146200,-0.404484,0.538832,0.163079,-0.281378,0.501825,0.157035,-0.289039,0.525203,0.185538,-0.368265,0.511944,0.180450,-0.374814,0.566855,0.265296,-0.181757,0.467432,0.259356,-0.208281,0.615941,0.353226,-0.177143,0.425339,0.355626,-0.277481,0.669458,0.437413,-0.315723,0.387250,0.439430,-0.463611,0.683530,0.464440,-0.348291,0.375051,0.474250,-0.517138,0.682653,0.469814,-0.392002,0.380706,0.474686,-0.544193,0.676347,0.460038,-0.337131,0.387595,0.466901,-0.481730,0.545053,0.538356,0.016079,0.488401,0.535214,-0.016297,0.540102,0.700487,0.199141,0.479503,0.703732,0.066547,0.525008,0.837081,0.453083,0.476372,0.862051,0.247727,0.514897,0.859002,0.469605,0.481301,0.880552,0.258535,0.542765,0.897882,0.345798,0.462645,0.941673,0.107979,OTRO
0.515538,0.158071,-0.354001,0.521024,0.146624,-0.332176,0.525476,0.148036,-0.332503,0.530105,0.149739,-0.332444,0.510027,0.144311,-0.336369,0.505650,0.144459,-0.336693,0.501428,0.145063,-0.336860,0.535193,0.162052,-0.203824,0.496979,0.157065,-0.223066,0.522421,0.181235,-0.303723,0.508919,0.177695,-0.311380,0.562478,0.265517,-0.118392,0.463215,0.262078,-0.159565,0.617994,0.350043,-0.142558,0.416529,0.346429,-0.222561,0.677305,0.417271,-0.309859,0.364788,0.402414,-0.366495,0.692861,0.412586,-0.335538,0.343435,0.439902,-0.405924,0.691992,0.410649,-0.375667,0.345144,0.427930,-0.434618,0.686039,0.418149,-0.328197,0.355142,0.424277,-0.385024,0.544994,0.535681,0.018766,0.487153,0.535526,-0.018996,0.540348,0.695931,0.139521,0.478221,0.701160,0.008629,0.525230,0.831432,0.403372,0.477316,0.861948,0.178585,0.515420,0.852336,0.422032,0.482509,0.880559,0.189260,0.541953,0.893447,0.295513,0.463229,0.936395,0.047607,OTRO
0.516078,0.158253,-0.350119,0.521343,0.147073,-0.329199,0.526218,0.148615,-0.329503,0.530939,0.150364,-0.329440,0.510118,0.144913,-0.327520,0.506132,0.145099,-0.327842,0.502784,0.145501,-0.328039,0.535447,0.162470,-0.198750,0.498791,0.157089,-0.191242,0.522986,0.181653,-0.299091,0.509004,0.177961,-0.299076,0.562835,0.265205,-0.115108,0.466825,0.262161,-0.117780,0.621562,0.315016,-0.238096,0.416338,0.337341,-0.240059,0.664560,0.239982,-0.507260,0.388170,0.233383,-0.493801,0.676484,0.214713,-0.564824,0.373882,0.202445,-0.557493,0.671227,0.201808,-0.582658,0.376455,0.189435,-0.566667,0.665551,0.212256,-0.522261,0.384779,0.203000,-0.507631,0.545479,0.535604,0.011867,0.487594,0.533606,-0.012051,0.538393,0.696728,0.084599,0.478796,0.701406,0.012516,0.522813,0.832132,0.360649,0.476933,0.861386,0.196652,0.513073,0.852985,0.379992,0.482266,0.880480,0.208867,0.540745,0.893676,0.243364,0.463348,0.933892,0.069674,OTRO
0.516376,0.158294,-0.331552,0.522087,0.147143,-0.310346,0.526956,0.148688,-0.310645,0.531599,0.150428,-0.310580,0.510808,0.145010,-0.310215,0.506774,0.145194,-0.310518,0.503219,0.145524,-0.310713,0.536194,0.162744,-0.178914,0.498951,0.157204,-0.180099,0.523490,0.181908,-0.280336,0.509530,0.178046,-0.282554,0.564317,0.265317,-0.091343,0.469542,0.262079,-0.109321,0.611842,0.347632,-0.212393,0.430414,0.355269,-0.256487,0.622287,0.241216,-0.455558,0.439943,0.252590,-0.510891,0.625523,0.214346,-0.507291,0.439648,0.220628,-0.574731,0.619293,0.205180,-0.518206,0.443682,0.211156,-0.572258,0.615002,0.214685,-0.465766,0.446559,0.225635,-0.518988,0.544837,0.534884,0.012149,0.488142,0.532100,-0.012297,0.537108,0.696707,0.101576,0.479201,0.701491,0.001175,0.521407,0.831681,0.366178,0.477299,0.860719,0.199352,0.511892,0.852703,0.386186,0.482605,0.879779,0.212601,0.539971,0.894121,0.257879,0.463682,0.932084,0.069912,OTRO
0.514113,0.157801,-0.309747,0.519644,0.147130,-0.286204,0.524320,0.148693,-0.286489,0.529183,0.150490,-0.286425,0.509188,0.144881,-0.289155,0.505085,0.144962,-0.289453,0.500996,0.145335,-0.289637,0.534090,0.162922,-0.149772,0.495966,0.157399,-0.164973,0.520634,0.180694,-0.257125,0.507458,0.177140,-0.263402,0.560541,0.266373,-0.069168,0.466459,0.262176,-0.101183,0.596694,0.369546,-0.202425,0.427432,0.356623,-0.259597,0.597045,0.267267,-0.441403,0.437295,0.271520,-0.511745,0.596241,0.245506,-0.492925,0.439932,0.253688,-0.575122,0.594011,0.234995,-0.503804,0.443705,0.243354,-0.572112,0.590320,0.245177,-0.451534,0.444754,0.251378,-0.519040,0.544778,0.533795,0.013698,0.486916,0.532436,-0.013806,0.537740,0.695431,0.055100,0.477769,0.700109,-0.059910,0.522178,0.831510,0.324235,0.477607,0.860743,0.120353,0.512455,0.852420,0.343815,0.482963,0.879827,0.132215,0.540064,0.894316,0.225981,0.464038,0.932480,-0.005915,OTRO
