NOSE_x,NOSE_y,NOSE_z,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,label
0.402407,0.497103,-0.267142,0.402237,0.477257,-0.279045,0.404849,0.475404,-0.279184,0.407863,0.473536,-0.279182,0.397831,0.478210,-0.256754,0.396965,0.477167,-0.257031,0.395950,0.476261,-0.257230,0.427328,0.462584,-0.278547,0.405604,0.467616,-0.179667,0.413514,0.506325,-0.262374,0.406705,0.507175,-0.234542,0.484578,0.514251,-0.250831,0.430733,0.512375,-0.096798,0.477493,0.675880,-0.251454,0.417902,0.638997,-0.169446,0.432941,0.573696,-0.201399,0.412268,0.560895,-0.342995,0.420134,0.555242,-0.210120,0.408991,0.543900,-0.370001,0.424658,0.541898,-0.212794,0.412524,0.536004,-0.366757,0.428513,0.545492,-0.199750,0.416307,0.540857,-0.346857,0.524566,0.626322,-0.053515,0.483412,0.618567,0.053480,0.476891,0.731699,-0.144424,0.423056,0.692108,-0.057691,0.497407,0.863647,-0.028077,0.432448,0.835943,0.046676,0.508300,0.876915,-0.018512,0.443140,0.862462,0.057106,0.472268,0.914772,-0.071139,0.399178,0.888300,0.018925,POSICION_FETAL
0.391903,0.519538,-0.293334,0.394397,0.496281,-0.303129,0.398498,0.492816,-0.303258,0.402098,0.489676,-0.303261,0.385275,0.501635,-0.280814,0.382535,0.501945,-0.281091,0.379925,0.501976,-0.281260,0.415785,0.481223,-0.292083,0.387038,0.494091,-0.193542,0.404307,0.528317,-0.284326,0.393921,0.533701,-0.256655,0.470500,0.516156,-0.257269,0.416911,0.520686,-0.099943,0.472979,0.682328,-0.251413,0.411516,0.649845,-0.169181,0.422630,0.587582,-0.191025,0.401425,0.571531,-0.337930,0.408277,0.569433,-0.197929,0.395189,0.551339,-0.362966,0.413301,0.555698,-0.197337,0.397692,0.541008,-0.358229,0.416823,0.559161,-0.187498,0.401675,0.545540,-0.340973,0.515948,0.628968,-0.053664,0.475116,0.618385,0.053621,0.471671,0.732338,-0.153923,0.412769,0.689314,-0.051098,0.487348,0.863544,-0.043361,0.422466,0.835721,0.051463,0.497062,0.877303,-0.033759,0.432381,0.862958,0.062100,0.461443,0.917572,-0.080856,0.388517,0.890213,0.031396,POSICION_FETAL
0.384647,0.517182,-0.311920,0.389275,0.497076,-0.321315,0.394124,0.493865,-0.321446,0.398550,0.490783,-0.321436,0.379682,0.501490,-0.301328,0.377238,0.501311,-0.301634,0.374911,0.500802,-0.301811,0.412243,0.481482,-0.305649,0.381863,0.492272,-0.218882,0.397863,0.525024,-0.301014,0.386535,0.529141,-0.276705,0.465096,0.524066,-0.261604,0.403496,0.511339,-0.126015,0.464737,0.681727,-0.249525,0.400962,0.651037,-0.151581,0.420612,0.587449,-0.189573,0.388915,0.570609,-0.271493,0.405060,0.566953,-0.197665,0.383516,0.551008,-0.291130,0.408909,0.553366,-0.200258,0.386356,0.539690,-0.291468,0.413749,0.556807,-0.188041,0.390886,0.544116,-0.274964,0.505080,0.626758,-0.048675,0.463701,0.607490,0.048616,0.454925,0.735535,-0.084148,0.391386,0.677352,-0.057959,0.472388,0.863643,0.023012,0.404463,0.831038,0.034252,0.483825,0.877650,0.032685,0.415772,0.857910,0.044918,0.446382,0.917485,-0.007403,0.378539,0.885827,0.018579,POSICION_FETAL
0.382070,0.509837,-0.387823,0.386929,0.486771,-0.393533,0.391643,0.484083,-0.393708,0.395962,0.480903,-0.393740,0.375378,0.489791,-0.379917,0.371796,0.489903,-0.380234,0.368475,0.489512,-0.380437,0.409289,0.472347,-0.355688,0.372029,0.485969,-0.298007,0.392367,0.519098,-0.368022,0.379862,0.523134,-0.352198,0.454120,0.520285,-0.294713,0.379809,0.511415,-0.185636,0.454798,0.676374,-0.264603,0.380622,0.648455,-0.197555,0.415033,0.586224,-0.218515,0.377485,0.569563,-0.305526,0.402077,0.566816,-0.230317,0.373518,0.547724,-0.329419,0.405240,0.548686,-0.237903,0.375286,0.534960,-0.327244,0.408955,0.554279,-0.219922,0.379708,0.541033,-0.309124,0.487269,0.620435,-0.045032,0.442508,0.606871,0.044975,0.440018,0.735982,-0.075968,0.377719,0.691220,-0.064630,0.460401,0.863750,0.019975,0.392579,0.852210,0.028156,0.472410,0.877552,0.027449,0.406193,0.878010,0.038063,0.433678,0.919106,-0.026735,0.362866,0.908429,-0.004360,POSICION_FETAL
0.384533,0.484413,-0.441492,0.391005,0.465742,-0.447933,0.397073,0.463702,-0.448137,0.402001,0.460675,-0.448154,0.380293,0.464532,-0.438877,0.377985,0.462798,-0.439226,0.375385,0.461118,-0.439464,0.412873,0.446166,-0.398072,0.376683,0.453770,-0.361010,0.397214,0.489628,-0.415411,0.386674,0.493626,-0.405612,0.450377,0.498810,-0.312533,0.369401,0.489017,-0.248770,0.452800,0.636818,-0.279929,0.376996,0.628877,-0.272697,0.416747,0.538501,-0.259055,0.382183,0.542740,-0.380297,0.405661,0.522991,-0.273884,0.378733,0.525185,-0.401849,0.409343,0.505023,-0.283229,0.380817,0.513566,-0.402428,0.412642,0.512119,-0.261879,0.384216,0.517597,-0.382374,0.476663,0.594116,-0.032423,0.435305,0.579719,0.032372,0.435262,0.733435,-0.040245,0.367372,0.691170,-0.064416,0.440990,0.878179,0.030407,0.376321,0.853694,0.033426,0.445441,0.898129,0.034498,0.388392,0.879953,0.044009,0.420155,0.922296,-0.037999,0.347638,0.910078,-0.002581,POSICION_FETAL
0.384964,0.480499,-0.457949,0.395133,0.464318,-0.464254,0.401105,0.462747,-0.464456,0.406051,0.462159,-0.464454,0.382179,0.459971,-0.460269,0.380499,0.457463,-0.460644,0.378351,0.455077,-0.460910,0.414299,0.450507,-0.407877,0.379570,0.443947,-0.392904,0.399547,0.487198,-0.428178,0.389526,0.486795,-0.424746,0.441894,0.486065,-0.304908,0.366771,0.490794,-0.275940,0.443818,0.612701,-0.223932,0.362802,0.627415,-0.264484,0.417715,0.545241,-0.167462,0.383625,0.543122,-0.344269,0.409580,0.525378,-0.176036,0.384132,0.524960,-0.358696,0.410556,0.507500,-0.192039,0.386681,0.514266,-0.361809,0.414668,0.516122,-0.172026,0.388214,0.519282,-0.343131,0.459658,0.580602,-0.019762,0.425331,0.566688,0.019709,0.430953,0.725810,-0.014376,0.364966,0.696588,-0.062089,0.427132,0.878396,0.040061,0.362834,0.886643,0.024723,0.426205,0.899738,0.042164,0.371216,0.907253,0.033066,0.401196,0.932108,-0.043074,0.356314,0.945433,-0.041624,POSICION_FETAL
0.427478,0.481400,-0.413623,0.432957,0.465278,-0.420731,0.434562,0.462712,-0.420994,0.435994,0.460494,-0.420972,0.425419,0.463875,-0.429707,0.421190,0.460159,-0.430056,0.415363,0.457773,-0.430270,0.428918,0.448572,-0.370780,0.395372,0.454846,-0.413716,0.424345,0.483157,-0.383759,0.414541,0.486489,-0.396432,0.424899,0.450427,-0.266590,0.360795,0.506195,-0.302873,0.432502,0.540434,-0.142001,0.353619,0.627763,-0.238781,0.432589,0.554502,-0.083945,0.387025,0.545850,-0.184485,0.440816,0.565327,-0.086067,0.404388,0.526784,-0.187863,0.437825,0.556021,-0.100313,0.397530,0.513582,-0.185970,0.429783,0.556619,-0.087664,0.391347,0.519982,-0.180507,0.412300,0.537094,0.006031,0.365866,0.552177,-0.006117,0.416713,0.698595,-0.011073,0.358624,0.700870,-0.045401,0.396749,0.861866,0.030438,0.349421,0.899364,-0.021092,0.388633,0.886068,0.033250,0.352502,0.922289,-0.019114,0.405716,0.930976,-0.033029,0.343349,0.958550,-0.088993,POSICION_FETAL
0.425412,0.475617,-0.380432,0.429949,0.458178,-0.388695,0.430946,0.454312,-0.388919,0.431890,0.451053,-0.388912,0.422641,0.464221,-0.396218,0.419123,0.462260,-0.396538,0.414340,0.459961,-0.396738,0.427658,0.442972,-0.366089,0.394875,0.456875,-0.400259,0.421227,0.477896,-0.362310,0.412750,0.482450,-0.366185,0.399214,0.454165,-0.244896,0.349543,0.517289,-0.310429,0.406705,0.541829,-0.137708,0.347702,0.646834,-0.272656,0.431657,0.558595,-0.101931,0.397683,0.546459,-0.250305,0.437343,0.571924,-0.109217,0.414548,0.530460,-0.264845,0.437711,0.565792,-0.124180,0.409601,0.514585,-0.262990,0.431713,0.564652,-0.106861,0.402332,0.521985,-0.248402,0.380259,0.550353,0.015370,0.339685,0.567898,-0.015480,0.399904,0.705708,0.046454,0.350422,0.719739,-0.006303,0.382850,0.852424,0.150144,0.340314,0.897586,0.062751,0.374291,0.877658,0.159247,0.343922,0.911007,0.070575,0.403601,0.924513,0.109368,0.352145,0.971481,0.008358,POSICION_FETAL
0.421046,0.465915,-0.402365,0.427268,0.446450,-0.405999,0.428391,0.444136,-0.406283,0.429270,0.443072,-0.406291,0.420713,0.447752,-0.421406,0.416772,0.445721,-0.421715,0.411708,0.442668,-0.421918,0.425482,0.436451,-0.352542,0.394630,0.426784,-0.418958,0.418458,0.470891,-0.369724,0.409725,0.469977,-0.391468,0.392978,0.455709,-0.240551,0.323592,0.506264,-0.328968,0.404580,0.565673,-0.136273,0.325599,0.672773,-0.344791,0.415198,0.553372,-0.101015,0.362220,0.673494,-0.409607,0.431463,0.568288,-0.110522,0.366988,0.684511,-0.440427,0.423420,0.549278,-0.126741,0.370669,0.665879,-0.444094,0.416548,0.553670,-0.106987,0.369569,0.657984,-0.412959,0.360050,0.532861,0.026305,0.313521,0.562652,-0.026444,0.383627,0.700594,0.077606,0.354657,0.720038,-0.004975,0.362599,0.835698,0.226732,0.339994,0.862930,0.128677,0.350793,0.859853,0.240162,0.331582,0.878691,0.142993,0.388184,0.896578,0.183244,0.355940,0.943909,0.077446,POSICION_FETAL
0.419376,0.460215,-0.508896,0.421921,0.443425,-0.506062,0.424160,0.443788,-0.506346,0.426467,0.444579,-0.506406,0.414671,0.437214,-0.523641,0.411523,0.432925,-0.523902,0.410056,0.427882,-0.524056,0.413971,0.439772,-0.411643,0.388000,0.416122,-0.493968,0.405329,0.469384,-0.463278,0.398145,0.461311,-0.488538,0.383425,0.459418,-0.272566,0.311664,0.494631,-0.374567,0.390722,0.585712,-0.233759,0.338007,0.640733,-0.407705,0.400659,0.539949,-0.334950,0.375173,0.550479,-0.496570,0.408166,0.527068,-0.366007,0.378444,0.541368,-0.529637,0.406339,0.512804,-0.378637,0.378324,0.518460,-0.530925,0.401122,0.520238,-0.342805,0.375978,0.523871,-0.498254,0.348935,0.545841,0.031014,0.296617,0.553779,-0.031110,0.372339,0.695465,-0.060001,0.322416,0.719405,-0.157414,0.347894,0.835972,0.097523,0.327399,0.871750,-0.056208,0.334708,0.859255,0.109029,0.317998,0.883373,-0.048199,0.377082,0.895206,-0.014884,0.343232,0.943268,-0.160010,POSICION_FETAL
