Segundo,Pose
0.500000,FIRMES
1.000000,FIRMES
1.500000,OTRO
2.000000,OTRO
2.500000,OTRO
3.000000,OTRO
3.500000,OTRO
4.000000,OTRO
4.500000,OTRO
5.000000,OTRO
5.500000,BRAZOS_CRUZADOS
6.000000,BRAZOS_CRUZADOS
6.500000,BRAZOS_CRUZADOS
7.000000,BRAZOS_CRUZADOS
7.500000,BRAZOS_CRUZADOS
8.000000,BRAZOS_CRUZADOS
8.500000,BRAZOS_CRUZADOS
9.000000,BRAZOS_CRUZADOS
9.500000,BRAZOS_CRUZADOS
10.000000,BRAZOS_CRUZADOS
10.500000,OTRO
11.000000,OTRO
11.500000,OTRO
12.000000,OTRO
12.500000,FIRMES
13.000000,FIRMES
13.500000,FIRMES
14.000000,FIRMES
14.500000,FIRMES
15.000000,FIRMES
15.500000,FIRMES
16.000000,FIRMES
16.500000,FIRMES
17.000000,BRAZOS_CRUZADOS
17.500000,BRAZOS_CRUZADOS
18.000000,POSICION_FETAL
18.500000,POSICION_FETAL
19.000000,POSICION_FETAL
19.500000,POSICION_FETAL
20.000000,POSICION_FETAL
20.500000,POSICION_FETAL
21.000000,OTRO
21.500000,OTRO
22.000000,OTRO
22.500000,OTRO
23.000000,OTRO
23.500000,OTRO
24.000000,OTRO
24.500000,OTRO
25.000000,FIRMES
25.500000,FIRMES
26.000000,FIRMES
26.500000,FIRMES
27.000000,FIRMES
27.500000,OTRO
28.000000,FIRMES
28.500000,OTRO
29.000000,OTRO
29.500000,OTRO
30.000000,BRAZOS_CRUZADOS
30.500000,BRAZOS_CRUZADOS
31.000000,BRAZOS_CRUZADOS
31.500000,BRAZOS_CRUZADOS
32.000000,BRAZOS_CRUZADOS
32.500000,FIRMES
33.000000,FIRMES
33.500000,FIRMES
34.000000,OTRO
34.500000,FIRMES
35.000000,BRAZOS_CRUZADOS
35.500000,POSICION_FETAL
36.000000,POSICION_FETAL
36.500000,POSICION_FETAL
37.000000,POSICION_FETAL
37.500000,BRAZOS_CRUZADOS
38.000000,OTRO
38.500000,FIRMES
39.000000,OTRO
39.500000,OTRO
40.000000,OTRO
40.500000,OTRO
41.000000,OTRO
41.500000,OTRO
42.000000,OTRO
42.500000,OTRO
43.000000,OTRO
43.500000,OTRO
44.000000,OTRO
44.500000,OTRO
45.000000,FIRMES
45.500000,OTRO
46.000000,FIRMES
46.500000,FIRMES
47.000000,FIRMES
47.500000,FIRMES
48.000000,FIRMES
48.500000,FIRMES
49.000000,FIRMES
49.500000,POSICION_FETAL
50.000000,OTRO
50.500000,OTRO
51.000000,OTRO
51.500000,OTRO
52.000000,BRAZOS_CRUZADOS
52.500000,OTRO
53.000000,OTRO
53.500000,OTRO
54.000000,OTRO
54.500000,OTRO
55.000000,OTRO
55.500000,OTRO
56.000000,FIRMES
56.500000,FIRMES
57.000000,FIRMES
57.500000,FIRMES
58.000000,FIRMES
58.500000,OTRO
59.033333,OTRO
59.533333,OTRO
60.033333,FIRMES
60.533333,FIRMES
61.033333,OTRO
61.533333,BRAZOS_CRUZADOS
62.033333,BRAZOS_CRUZADOS
62.533333,BRAZOS_CRUZADOS
63.033333,BRAZOS_CRUZADOS
63.533333,BRAZOS_CRUZADOS
64.033333,BRAZOS_CRUZADOS
64.533333,BRAZOS_CRUZADOS
65.033333,BRAZOS_CRUZADOS
65.533333,BRAZOS_CRUZADOS
66.033333,BRAZOS_CRUZADOS
66.533333,BRAZOS_CRUZADOS
67.033333,BRAZOS_CRUZADOS
67.533333,FIRMES
68.033333,FIRMES
68.533333,FIRMES
69.033333,FIRMES
69.533333,FIRMES
70.033333,OTRO
70.533333,FIRMES
71.033333,FIRMES
71.533333,FIRMES
72.033333,FIRMES
72.533333,FIRMES
73.033333,FIRMES
73.533333,FIRMES
74.033333,FIRMES
74.533333,FIRMES
75.033333,FIRMES
75.533333,FIRMES
76.033333,FIRMES
76.533333,FIRMES
77.033333,BRAZOS_CRUZADOS
77.533333,POSICION_FETAL
78.033333,OTRO
78.533333,POSICION_FETAL
79.033333,OTRO
