Segundo,Pose
0.500000,FIRMES
1.000000,FIRMES
1.500000,FIRMES
2.000000,FIRMES
2.500000,FIRMES
3.000000,FIRMES
3.500000,FIRMES
4.000000,FIRMES
4.500000,FIRMES
5.000000,FIRMES
5.500000,FIRMES
6.000000,FIRMES
6.500000,OTRO
7.000000,OTRO
7.500000,OTRO
8.000000,OTRO
8.500000,BRAZOS_CRUZADOS
9.000000,BRAZOS_CRUZADOS
9.500000,BRAZOS_CRUZADOS
10.000000,BRAZOS_CRUZADOS
10.500000,BRAZOS_CRUZADOS
11.000000,BRAZOS_CRUZADOS
11.500000,BRAZOS_CRUZADOS
12.000000,BRAZOS_CRUZADOS
12.500000,BRAZOS_CRUZADOS
13.000000,BRAZOS_CRUZADOS
13.500000,BRAZOS_CRUZADOS
14.000000,BRAZOS_CRUZADOS
14.500000,BRAZOS_CRUZADOS
15.000000,BRAZOS_CRUZADOS
15.500000,FIRMES
16.000000,FIRMES
16.500000,FIRMES
17.000000,FIRMES
17.500000,FIRMES
18.000000,OTRO
18.500000,OTRO
19.000000,POSICION_FETAL
19.500000,POSICION_FETAL
20.000000,BRAZOS_CRUZADOS
20.500000,BRAZOS_CRUZADOS
21.000000,OTRO
21.500000,OTRO
22.000000,FIRMES
22.500000,FIRMES
23.000000,FIRMES
23.500000,FIRMES
24.000000,FIRMES
24.500000,FIRMES
25.000000,FIRMES
25.500000,FIRMES
26.000000,FIRMES
26.500000,FIRMES
27.000000,FIRMES
27.500000,FIRMES
28.000000,FIRMES
28.500000,FIRMES
29.000000,FIRMES
29.500000,FIRMES
30.000000,FIRMES
30.500000,FIRMES
31.000000,FIRMES
31.500000,FIRMES
32.000000,FIRMES
32.500000,POSICION_FETAL
33.000000,POSICION_FETAL
33.500000,POSICION_FETAL
34.000000,POSICION_FETAL
34.500000,POSICION_FETAL
35.000000,POSICION_FETAL
35.500000,POSICION_FETAL
36.000000,POSICION_FETAL
36.500000,FIRMES
37.000000,FIRMES
37.500000,FIRMES
38.000000,FIRMES
38.500000,FIRMES
39.000000,FIRMES
39.500000,FIRMES
40.000000,FIRMES
40.500000,FIRMES
41.000000,FIRMES
41.500000,OTRO
42.000000,OTRO
42.500000,BRAZOS_CRUZADOS
43.000000,BRAZOS_CRUZADOS
43.500000,FIRMES
44.000000,OTRO
44.500000,FIRMES
45.000000,BRAZOS_CRUZADOS
45.500000,BRAZOS_CRUZADOS
46.000000,BRAZOS_CRUZADOS
46.500000,FIRMES
47.000000,FIRMES
47.500000,FIRMES
48.000000,FIRMES
48.500000,BRAZOS_CRUZADOS
50.700000,BRAZOS_CRUZADOS
51.200000,BRAZOS_CRUZADOS
51.700000,BRAZOS_CRUZADOS
52.200000,BRAZOS_CRUZADOS
52.700000,BRAZOS_CRUZADOS
53.200000,BRAZOS_CRUZADOS
53.700000,FIRMES
54.200000,FIRMES
54.700000,FIRMES
55.200000,FIRMES
55.700000,FIRMES
56.200000,BRAZOS_CRUZADOS
56.700000,FIRMES
58.500000,POSICION_FETAL
59.000000,FIRMES
59.500000,FIRMES
60.000000,FIRMES
60.500000,OTRO
61.000000,OTRO
61.500000,OTRO
62.000000,OTRO
62.500000,BRAZOS_CRUZADOS
63.000000,OTRO
63.500000,OTRO
64.000000,OTRO
64.500000,FIRMES
65.000000,FIRMES
65.500000,FIRMES
66.000000,FIRMES
66.500000,FIRMES
67.000000,FIRMES
