Segundo,Pose
0.566667,FIRMES
1.066667,FIRMES
1.566667,FIRMES
2.066667,FIRMES
2.566667,BRAZOS_CRUZADOS
3.066667,FIRMES
3.566667,FIRMES
4.066667,OTRO
4.566667,OTRO
5.066667,FIRMES
5.566667,FIRMES
6.066667,FIRMES
6.566667,POSICION_FETAL
7.066667,POSICION_FETAL
7.566667,FIRMES
8.066667,OTRO
8.566667,BRAZOS_CRUZADOS
9.066667,BRAZOS_CRUZADOS
9.566667,BRAZOS_CRUZADOS
10.066667,BRAZOS_CRUZADOS
10.566667,BRAZOS_CRUZADOS
11.066667,BRAZOS_CRUZADOS
11.566667,BRAZOS_CRUZADOS
12.066667,BRAZOS_CRUZADOS
12.566667,BRAZOS_CRUZADOS
13.066667,BRAZOS_CRUZADOS
13.566667,BRAZOS_CRUZADOS
14.066667,POSICION_FETAL
14.566667,POSICION_FETAL
15.066667,BRAZOS_CRUZADOS
15.566667,FIRMES
16.066667,FIRMES
16.566667,OTRO
17.066667,FIRMES
17.566667,BRAZOS_CRUZADOS
18.066667,BRAZOS_CRUZADOS
18.566667,FIRMES
19.066667,FIRMES
19.566667,BRAZOS_CRUZADOS
20.066667,BRAZOS_CRUZADOS
20.566667,BRAZOS_CRUZADOS
21.066667,BRAZOS_CRUZADOS
21.566667,BRAZOS_CRUZADOS
22.066667,OTRO
22.566667,OTRO
23.066667,BRAZOS_CRUZADOS
23.600000,OTRO
24.100000,OTRO
24.600000,OTRO
25.100000,OTRO
25.600000,FIRMES
26.100000,OTRO
26.600000,OTRO
27.100000,OTRO
27.600000,FIRMES
28.100000,OTRO
28.600000,OTRO
29.100000,OTRO
29.600000,OTRO
30.100000,OTRO
30.600000,OTRO
31.100000,OTRO
31.600000,OTRO
32.100000,OTRO
32.600000,OTRO
33.100000,OTRO
33.600000,OTRO
34.100000,FIRMES
34.600000,FIRMES
35.100000,BRAZOS_CRUZADOS
35.600000,BRAZOS_CRUZADOS
36.100000,FIRMES
36.600000,FIRMES
37.100000,BRAZOS_CRUZADOS
37.600000,FIRMES
38.100000,FIRMES
38.600000,POSICION_FETAL
39.100000,POSICION_FETAL
39.600000,BRAZOS_CRUZADOS
40.100000,OTRO
40.600000,OTRO
41.100000,FIRMES
41.600000,OTRO
42.100000,FIRMES
42.600000,FIRMES
43.100000,FIRMES
43.600000,FIRMES
44.100000,FIRMES
44.600000,FIRMES
45.100000,FIRMES
45.600000,FIRMES
46.100000,BRAZOS_CRUZADOS
46.600000,BRAZOS_CRUZADOS
47.100000,BRAZOS_CRUZADOS
47.600000,POSICION_FETAL
48.100000,BRAZOS_CRUZADOS
48.600000,BRAZOS_CRUZADOS
49.100000,BRAZOS_CRUZADOS
49.600000,POSICION_FETAL
50.100000,FIRMES
50.600000,BRAZOS_CRUZADOS
51.100000,FIRMES
51.600000,FIRMES
52.100000,FIRMES
52.600000,FIRMES
53.100000,FIRMES
53.600000,OTRO
54.100000,OTRO
54.600000,FIRMES
55.100000,FIRMES
55.600000,BRAZOS_CRUZADOS
56.100000,BRAZOS_CRUZADOS
56.600000,BRAZOS_CRUZADOS
57.100000,BRAZOS_CRUZADOS
57.600000,FIRMES
58.100000,FIRMES
58.600000,FIRMES
59.100000,BRAZOS_CRUZADOS
59.600000,POSICION_FETAL
60.100000,BRAZOS_CRUZADOS
60.600000,FIRMES
61.100000,FIRMES
61.600000,FIRMES
62.100000,FIRMES
62.600000,FIRMES
63.100000,OTRO
