Segundo,Pose
0.100000,FIRMES
0.200000,FIRMES
0.300000,FIRMES
0.400000,OTRO
0.500000,OTRO
0.600000,OTRO
0.700000,OTRO
0.800000,OTRO
0.900000,OTRO
1.000000,OTRO
1.100000,OTRO
1.200000,OTRO
1.300000,OTRO
1.400000,OTRO
1.500000,OTRO
1.600000,OTRO
1.700000,OTRO
1.800000,OTRO
1.900000,OTRO
2.000000,OTRO
2.100000,OTRO
2.200000,OTRO
2.300000,OTRO
2.400000,FIRMES
2.500000,FIRMES
2.600000,OTRO
2.700000,OTRO
2.800000,OTRO
2.900000,OTRO
3.000000,OTRO
3.100000,OTRO
3.200000,OTRO
3.300000,FIRMES
3.400000,FIRMES
3.500000,FIRMES
3.600000,OTRO
3.700000,OTRO
3.800000,OTRO
3.900000,OTRO
4.000000,OTRO
4.100000,OTRO
4.200000,FIRMES
4.300000,FIRMES
4.400000,FIRMES
4.500000,FIRMES
4.600000,FIRMES
4.700000,OTRO
4.800000,OTRO
4.900000,OTRO
5.000000,OTRO
5.100000,OTRO
5.200000,OTRO
5.300000,FIRMES
5.400000,FIRMES
5.500000,FIRMES
5.600000,OTRO
5.700000,OTRO
5.800000,OTRO
5.900000,OTRO
6.000000,OTRO
6.100000,OTRO
6.200000,OTRO
6.300000,OTRO
6.400000,OTRO
6.500000,OTRO
6.600000,OTRO
6.700000,OTRO
6.800000,OTRO
6.900000,OTRO
7.000000,OTRO
7.100000,OTRO
7.200000,OTRO
7.300000,OTRO
7.400000,OTRO
7.500000,OTRO
7.600000,OTRO
7.700000,OTRO
7.800000,OTRO
7.900000,OTRO
8.000000,OTRO
8.100000,OTRO
8.200000,OTRO
8.300000,OTRO
8.400000,OTRO
8.500000,OTRO
8.600000,FIRMES
8.700000,FIRMES
8.800000,FIRMES
8.900000,OTRO
9.000000,OTRO
9.100000,OTRO
9.200000,OTRO
9.300000,OTRO
9.400000,BRAZOS_CRUZADOS
9.500000,BRAZOS_CRUZADOS
9.600000,BRAZOS_CRUZADOS
9.700000,BRAZOS_CRUZADOS
9.800000,BRAZOS_CRUZADOS
9.900000,BRAZOS_CRUZADOS
10.000000,BRAZOS_CRUZADOS
10.100000,BRAZOS_CRUZADOS
10.200000,BRAZOS_CRUZADOS
10.300000,BRAZOS_CRUZADOS
10.400000,BRAZOS_CRUZADOS
10.500000,BRAZOS_CRUZADOS
10.600000,BRAZOS_CRUZADOS
10.700000,FIRMES
10.800000,FIRMES
10.900000,OTRO
11.000000,OTRO
11.100000,OTRO
11.200000,OTRO
11.300000,OTRO
11.400000,OTRO
11.500000,OTRO
11.600000,OTRO
11.700000,OTRO
11.800000,OTRO
11.900000,OTRO
12.000000,OTRO
12.100000,BRAZOS_CRUZADOS
12.200000,BRAZOS_CRUZADOS
12.300000,BRAZOS_CRUZADOS
12.400000,BRAZOS_CRUZADOS
12.500000,BRAZOS_CRUZADOS
12.600000,BRAZOS_CRUZADOS
12.700000,BRAZOS_CRUZADOS
12.800000,BRAZOS_CRUZADOS
12.900000,BRAZOS_CRUZADOS
13.000000,BRAZOS_CRUZADOS
13.100000,BRAZOS_CRUZADOS
13.200000,BRAZOS_CRUZADOS
13.300000,BRAZOS_CRUZADOS
13.400000,BRAZOS_CRUZADOS
13.500000,BRAZOS_CRUZADOS
13.600000,BRAZOS_CRUZADOS
13.700000,BRAZOS_CRUZADOS
13.800000,BRAZOS_CRUZADOS
13.900000,BRAZOS_CRUZADOS
14.000000,BRAZOS_CRUZADOS
14.100000,BRAZOS_CRUZADOS
14.200000,BRAZOS_CRUZADOS
14.300000,BRAZOS_CRUZADOS
14.400000,BRAZOS_CRUZADOS
14.500000,BRAZOS_CRUZADOS
14.600000,BRAZOS_CRUZADOS
14.700000,BRAZOS_CRUZADOS
14.800000,BRAZOS_CRUZADOS
14.900000,BRAZOS_CRUZADOS
15.000000,BRAZOS_CRUZADOS
15.100000,BRAZOS_CRUZADOS
15.200000,BRAZOS_CRUZADOS
15.300000,BRAZOS_CRUZADOS
15.400000,BRAZOS_CRUZADOS
15.500000,BRAZOS_CRUZADOS
15.600000,BRAZOS_CRUZADOS
15.700000,BRAZOS_CRUZADOS
15.800000,BRAZOS_CRUZADOS
15.900000,BRAZOS_CRUZADOS
16.000000,BRAZOS_CRUZADOS
16.100000,BRAZOS_CRUZADOS
16.200000,BRAZOS_CRUZADOS
16.300000,BRAZOS_CRUZADOS
16.400000,BRAZOS_CRUZADOS
16.500000,BRAZOS_CRUZADOS
16.600000,BRAZOS_CRUZADOS
16.700000,BRAZOS_CRUZADOS
16.800000,BRAZOS_CRUZADOS
16.900000,BRAZOS_CRUZADOS
17.000000,BRAZOS_CRUZADOS
17.100000,BRAZOS_CRUZADOS
17.200000,BRAZOS_CRUZADOS
17.300000,BRAZOS_CRUZADOS
17.400000,BRAZOS_CRUZADOS
17.500000,BRAZOS_CRUZADOS
17.600000,BRAZOS_CRUZADOS
17.700000,BRAZOS_CRUZADOS
17.800000,BRAZOS_CRUZADOS
17.900000,BRAZOS_CRUZADOS
18.000000,BRAZOS_CRUZADOS
18.100000,BRAZOS_CRUZADOS
18.200000,BRAZOS_CRUZADOS
18.300000,BRAZOS_CRUZADOS
18.400000,BRAZOS_CRUZADOS
18.500000,BRAZOS_CRUZADOS
18.600000,BRAZOS_CRUZADOS
18.700000,BRAZOS_CRUZADOS
18.800000,BRAZOS_CRUZADOS
18.900000,BRAZOS_CRUZADOS
19.000000,BRAZOS_CRUZADOS
19.100000,BRAZOS_CRUZADOS
19.200000,BRAZOS_CRUZADOS
19.300000,BRAZOS_CRUZADOS
19.400000,BRAZOS_CRUZADOS
19.500000,BRAZOS_CRUZADOS
19.600000,BRAZOS_CRUZADOS
19.700000,BRAZOS_CRUZADOS
19.800000,BRAZOS_CRUZADOS
19.900000,BRAZOS_CRUZADOS
20.000000,BRAZOS_CRUZADOS
20.100000,BRAZOS_CRUZADOS
20.200000,BRAZOS_CRUZADOS
20.300000,BRAZOS_CRUZADOS
20.400000,BRAZOS_CRUZADOS
20.500000,BRAZOS_CRUZADOS
20.600000,BRAZOS_CRUZADOS
20.700000,BRAZOS_CRUZADOS
20.800000,BRAZOS_CRUZADOS
20.900000,POSICION_FETAL
21.000000,POSICION_FETAL
21.100000,POSICION_FETAL
21.200000,POSICION_FETAL
21.300000,POSICION_FETAL
21.400000,POSICION_FETAL
21.500000,POSICION_FETAL
21.600000,POSICION_FETAL
21.700000,POSICION_FETAL
21.800000,POSICION_FETAL
21.900000,POSICION_FETAL
22.000000,POSICION_FETAL
22.100000,POSICION_FETAL
22.200000,POSICION_FETAL
22.300000,POSICION_FETAL
22.400000,POSICION_FETAL
22.500000,POSICION_FETAL
22.600000,POSICION_FETAL
22.700000,POSICION_FETAL
22.800000,POSICION_FETAL
22.900000,POSICION_FETAL
23.000000,POSICION_FETAL
23.100000,POSICION_FETAL
23.200000,POSICION_FETAL
23.300000,OTRO
23.400000,BRAZOS_CRUZADOS
23.500000,BRAZOS_CRUZADOS
23.600000,BRAZOS_CRUZADOS
23.700000,BRAZOS_CRUZADOS
23.800000,BRAZOS_CRUZADOS
